dir,file_name,exponential_smoothing,xgboost,random_forest,lstm,gru,vae,gan
realKnownCause,ambient_temperature_system_failure.csv,4.47676346451746,5.69400304626164,6.42356927025071,0.762434696,0.714506291,1.29620686114464,3.63811729486794
artificialWithAnomaly,art_daily_flatmiddle.csv,39.5760253138819,10.4042835265778,10.4486582226165,5.711104043,6.999999603,14.6319483082081,8.15675774516822
artificialWithAnomaly,art_daily_jumpsdown.csv,23.361411335233,4.58215371617597,4.65330263370644,2.606713962,2.488999361,5.9554686568358,6.05499462198142
artificialWithAnomaly,art_daily_jumpsup.csv,29.8095844692554,6.72179718559513,6.67796816735239,6.450866253,4.868383921,8.80965003444504,7.48565691575466
artificialNoAnomaly,art_daily_no_noise.csv,26.7623193817332,0.0122686228743803,0.00374710474652264,0.668904763,0.609463963,1.5594286927972,10.6023178973134
artificialWithAnomaly,art_daily_nojump.csv,24.8038393773056,5.95896402660236,5.99943162168882,2.362898264,2.563756467,14.188696537329,6.74978120042651
artificialNoAnomaly,art_daily_perfect_square_wave.csv,27.3417563890023,0.0106291088049854,2.78025920983803E-05,0.414601647,0.5584139,1.41059995906944,3.20659560148937
artificialNoAnomaly,art_daily_small_noise.csv,25.9237564536563,2.28310379325739,2.19984914896773,2.667400322,2.599540641,3.56907421133123,5.90131534348803
artificialWithAnomaly,art_increase_spike_density.csv,0.877768170006551,0.871161430353565,0.84442377520535,0.402010044,0.221761712,0.0846210320908665,0.436637491422082
artificialWithAnomaly,art_load_balancer_spikes.csv,0.325306629065104,0.222002569682518,0.221040494324213,0.185446367,0.152533828,0.231328604116609,0.186388625845437
artificialNoAnomaly,art_noisy.csv,2.80023582410007,2.78561495221824,2.88393714122437,2.804459481,2.823385368,2.80561484146634,3.10583873520531
realKnownCause,cpu_utilization_asg_misconfiguration.csv,7.98886877249716,12.2907491634498,12.1018365439747,5.788605385,4.677199493,5.85084908353693,10.8384137608047
realAWSCloudwatch,ec2_cpu_utilization_24ae8d.csv,0.0376713646570591,0.032142884076122,0.0402173324784949,0.025724029,0.025820569,0.0320367611225764,0.0565320320420478
realAWSCloudwatch,ec2_cpu_utilization_53ea38.csv,0.0458307887532075,0.0741175233417613,0.0760744251575222,0.045406824,0.046955639,0.0447031399263578,0.155742255593186
realAWSCloudwatch,ec2_cpu_utilization_5f5533.csv,2.3431281002602,2.36580818861514,2.50090457739217,2.360668198,2.561401029,2.99390805404423,2.39169191340328
realAWSCloudwatch,ec2_cpu_utilization_77c1ca.csv,15.7738759606324,22.7536659482375,21.0038706948505,5.771381431,5.856618745,6.75456918790439,10.0072511644766
realAWSCloudwatch,ec2_cpu_utilization_825cc2.csv,2.90973065070176,7.07390347687108,18.1665131505047,1.932591195,2.916322422,7.18221091586442,2.24291739083536
realAWSCloudwatch,ec2_cpu_utilization_ac20cd.csv,1.58010744082716,2.29230563420695,5.12838181200288,1.751818162,1.621383893,1.60077126239952,2.60911026187774
realAWSCloudwatch,ec2_cpu_utilization_c6585a.csv,0.0260341023248017,0.0317579291790668,0.0316158359460925,0.020674366,0.020842279,0.0304612947417124,0.0285418790761895
realAWSCloudwatch,ec2_cpu_utilization_fe7f93.csv,3.39069732357586,6.58967422785466,6.82758963883152,1.648736244,1.686438935,6.83978006668628,4.16915146859987
realAWSCloudwatch,ec2_disk_write_bytes_1ef3de.csv,11805348.0297765,18538649.4210095,21183745.3321944,8900530.65,5744601.577,10922827.4134718,16090987.3655837
realAWSCloudwatch,ec2_disk_write_bytes_c0d644.csv,39777982.7837543,40707373.9647861,41097782.9821437,17969842.62,17799612.37,11812063.8853701,19700579.710026
realAWSCloudwatch,ec2_network_in_257a54.csv,14323.1497883016,618650.604655553,495969.300127788,24353.71754,33507.45838,303381.221255764,474539.800628931
realAWSCloudwatch,ec2_network_in_5abac7.csv,157099.57502934,285588.408317571,287338.734924305,121778.4039,116734.4301,169199.601893898,125215.607720136
realKnownCause,ec2_request_latency_system_failure.csv,1.62394124644825,1.63005862112884,1.73908988334344,1.598308487,1.633342958,1.70145665082358,1.6180668797523
realAWSCloudwatch,elb_request_count_8c0756.csv,41.9531834571039,39.7742093246762,41.7422394776108,37.32239497,38.55746467,40.9873044626125,39.8200577275837
realAdExchange,exchange-2_cpc_results.csv,0.0157966409691895,0.0178771264132406,0.0215534989352748,0.013512122,0.013053369,0.0202011424850141,0.0673745629590787
realAdExchange,exchange-2_cpm_results.csv,0.0664201738014875,0.068205404058491,0.126764082373895,0.065071548,0.057446253,0.0803250624161177,0.148919355769846
realAdExchange,exchange-3_cpc_results.csv,0.0354624501699743,0.0432848014806387,0.0400230819826658,0.02931564,0.030156278,0.0390162675081007,0.0604755956142779
realAdExchange,exchange-3_cpm_results.csv,0.194865887352288,0.280654915545108,0.242408762626773,0.134655038,0.126168411,0.332026022309838,0.401349246313494
realAdExchange,exchange-4_cpc_results.csv,0.0416836595197487,0.0395253107087151,0.043988572996644,0.03372629,0.033989752,0.0513671910686787,0.0389571423972247
realAdExchange,exchange-4_cpm_results.csv,0.209124320610973,0.200500879364633,0.221372961200381,0.219572745,0.172731086,0.292099674563152,0.250633857831429
realAWSCloudwatch,grok_asg_anomaly.csv,1.48283982510025,1.42544982381294,1.46899586360916,1.36174607,1.405743297,1.46174728129067,1.43628829112991
realAWSCloudwatch,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,1261541.25247963,1436639.67329317,1341038.68664659,363186.2822,372180.4992,1919793.56388306,1304511.46097046
realKnownCause,machine_temperature_system_failure.csv,11.7807826726912,11.1529070282776,12.8687278881009,1.327327928,0.841844226,2.90273132314726,7.41837407602442
realKnownCause,nyc_taxi.csv,4007.35556077339,2295.08363040658,2693.57800742452,689.3119484,784.773484,1621.7322159698,5533.06020898057
realTraffic,occupancy_6005.csv,2.60362305679961,3.25128357526552,3.1430657280052,0.4281968,0.42219138,1.14447656658366,1.42304900817006
realTraffic,occupancy_t4013.csv,3.78300150192882,4.44926035184443,4.02230996373029,0.640944529,0.593257351,1.5444437442024,2.26314170152253
realAWSCloudwatch,rds_cpu_utilization_cc0c53.csv,0.212558381781247,0.283334630851554,0.284862648223597,0.210429575,0.221330196,0.267381610385002,0.476410605958617
realAWSCloudwatch,rds_cpu_utilization_e47b3b.csv,6.62173920941979,6.74782580527621,7.15589255789977,7.049796102,2.446730495,5.4404298714413,5.43950407735202
realKnownCause,rogue_agent_key_hold.csv,0.0594872234080009,0.0458354011873312,0.0813833802338693,0.00736055,0.007826043,0.0284374255117367,0.0121788751672895
realKnownCause,rogue_agent_key_updown.csv,0.894342055551103,0.820160182941009,0.913531596718883,0.570682952,0.624910185,0.825998546770438,0.924002193526213
realTraffic,speed_6005.csv,4.11825465162542,11.841721886268,13.520426824586,2.035096287,1.019533096,12.1449580583153,30.4548048453168
realTraffic,speed_7578.csv,6.50684684258902,7.63615802312057,12.3603863568188,2.496475323,2.003123968,6.49835181731191,3.13717912547327
realTraffic,speed_t4013.csv,1.47155879700918,1.34916078824171,2.06516338980343,0.771066575,0.941375782,1.04015526347345,0.948583787558595
realTraffic,TravelTime_387.csv,79.9417738551662,177.065265267474,260.296505595376,11.59621403,3.607681628,28.6992384584616,96.1471582497673
realTraffic,TravelTime_451.csv,77.5051039306742,142.976151774771,148.170950254576,3.49548461,6.025404767,22.8259893991449,68.2978005089046
realTweets,Twitter_volume_AAPL.csv,84.1648453066528,69.894358646493,75.2697886820953,31.61894412,32.78663576,48.9972893323866,56.8752496173673
realTweets,Twitter_volume_AMZN.csv,23.1243737715314,19.6572146503804,19.6233222933718,10.80547184,11.21377532,13.4156623994249,21.7418053500492
realTweets,Twitter_volume_CRM.csv,5.24752612476855,3.52519034627211,3.94361834903874,1.696400488,1.747963385,1.84479931113533,2.7429500696071
realTweets,Twitter_volume_CVS.csv,0.528320069981559,0.55629191553565,0.829966202531016,0.391552086,0.394247774,0.517894920800523,0.413339292000974
realTweets,Twitter_volume_FB.csv,9.09767733505732,7.36264199852228,8.0796879270606,5.97387736,5.785006382,7.0824707136873,9.56032359792767
realTweets,Twitter_volume_GOOG.csv,14.9985889178229,9.68111682498758,11.4293975124266,6.180470802,6.135595857,7.21342885872889,10.2631686470615
realTweets,Twitter_volume_IBM.csv,3.45735788654012,3.12347993663401,4.70128251091419,2.689500227,2.659447491,2.89892492901443,3.75832798936821
realTweets,Twitter_volume_KO.csv,8.69292900428103,8.61944344261433,10.0098353171834,7.406049203,5.556923891,6.54143932279764,9.40464843162795
realTweets,Twitter_volume_PFE.csv,1.03457426647119,0.948538865147142,0.975701611376019,0.75124057,0.742801522,0.907096855300718,0.954839600716965
realTweets,Twitter_volume_UPS.csv,4.99041699536672,7.58549591252348,9.31184176538959,2.329859881,2.312023061,5.36180564368853,5.00547355842349
