dir,file_name,exponential_smoothing,xgboost,random_forest,lstm,gru,vae
realKnownCause,ambient_temperature_system_failure.csv,4.47676346451746,5.69400304626164,6.42356927025071,0.761606479,0.714506291,1.29620686114464
artificialWithAnomaly,art_daily_flatmiddle.csv,39.5760253138819,10.4042835265778,10.4486582226165,4.452524739,6.999999603,14.6319483082081
artificialWithAnomaly,art_daily_jumpsdown.csv,23.361411335233,4.58215371617597,4.65330263370644,2.565010851,2.488999361,5.9554686568358
artificialWithAnomaly,art_daily_jumpsup.csv,29.8095844692554,6.72179718559513,6.67796816735239,7.030207228,4.868383921,8.80965003444504
artificialNoAnomaly,art_daily_no_noise.csv,26.7623193817332,0.0122686228743803,0.00374710474652264,0.707945538,0.609463963,1.5594286927972
artificialWithAnomaly,art_daily_nojump.csv,24.8038393773056,5.95896402660236,5.99943162168882,2.351580352,2.563756467,14.188696537329
artificialNoAnomaly,art_daily_perfect_square_wave.csv,27.3417563890023,0.0106291088049854,2.78025920983803E-05,0.414601253,0.5584139,1.41059995906944
artificialNoAnomaly,art_daily_small_noise.csv,25.9237564536563,2.28310379325739,2.19984914896773,2.668343197,2.599540641,3.56907421133123
artificialWithAnomaly,art_increase_spike_density.csv,0.877768170006551,0.871161430353565,0.84442377520535,0.402010044,0.221761712,0.0846210320908665
artificialWithAnomaly,art_load_balancer_spikes.csv,0.325306629065104,0.222002569682518,0.221040494324213,0.185446367,0.152533828,0.231328604116609
artificialNoAnomaly,art_noisy.csv,2.80023582410007,2.78561495221824,2.88393714122437,2.778921715,2.823385368,2.80561484146634
realKnownCause,cpu_utilization_asg_misconfiguration.csv,7.98886877249716,12.2907491634498,12.1018365439747,5.56090839,4.677199493,5.85084908353693
realAWSCloudwatch,ec2_cpu_utilization_24ae8d.csv,0.0376713646570591,0.032142884076122,0.0402173324784949,0.025738775,0.025820569,0.0320367611225764
