dir,file_name,exponential_smoothing,xgboost,random_forest
realAdExchange,exchange-2_cpc_results.csv,0.14513049809316939,0.16101284470935284,0.20009617071232927
realAdExchange,exchange-2_cpm_results.csv,0.8920938251729001,0.8397187819166835,0.9346981759349218
realAdExchange,exchange-3_cpc_results.csv,0.20774714415109782,0.25929932770873293,0.22598028127035538
realAdExchange,exchange-3_cpm_results.csv,0.17940461262009388,0.2741531039074825,0.23265065637765095
realAdExchange,exchange-4_cpc_results.csv,0.4114424400236463,0.31644698304571445,0.39139958342794884
realAdExchange,exchange-4_cpm_results.csv,0.3604426921701141,0.34068868773478794,0.34096326723697834
realAWSCloudwatch,ec2_cpu_utilization_24ae8d.csv,0.31226256049510037,0.28590748606051125,0.32388057624970334
realAWSCloudwatch,ec2_cpu_utilization_53ea38.csv,0.02458295335675131,0.03935798596376404,0.040444019068805646
realAWSCloudwatch,ec2_cpu_utilization_5f5533.csv,0.05389981386008799,0.054847670347891,0.05799793961412706
realAWSCloudwatch,ec2_cpu_utilization_77c1ca.csv,69.82265577461668,156.70168071431095,137.66678070793847
realAWSCloudwatch,ec2_cpu_utilization_825cc2.csv,0.03149416579663818,0.0771759303225705,0.1976388582035501
realAWSCloudwatch,ec2_cpu_utilization_ac20cd.csv,0.04505762214231886,0.06483757708269616,0.14815924527363955
realAWSCloudwatch,ec2_cpu_utilization_c6585a.csv,0.23098456222903702,0.32531500168417815,0.3176817070597098
realAWSCloudwatch,ec2_cpu_utilization_fe7f93.csv,0.356763606953903,1.766687261064426,1.7532592871199775
realAWSCloudwatch,ec2_disk_write_bytes_1ef3de.csv,1.4271799396112213e+22,4.479817727263447e+22,5.481309250058873e+22
realAWSCloudwatch,ec2_disk_write_bytes_c0d644.csv,9.134810089771146e+22,9.870898798052654e+22,1.0524081295629433e+23
realAWSCloudwatch,ec2_network_in_257a54.csv,0.058479682404310285,2.655998814979853,2.1047265206308947
realAWSCloudwatch,ec2_network_in_5abac7.csv,600.9680359461153,2447.928460650283,2473.1659949493583
realAWSCloudwatch,elb_request_count_8c0756.csv,1.9976487813254387,2.4452887746808,2.4915888751237
realAWSCloudwatch,grok_asg_anomaly.csv,0.04326455289011314,0.041259351008961546,0.042676020796568535
realAWSCloudwatch,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0.35858683977914746,0.4293142392979665,0.3411714878931303
realAWSCloudwatch,rds_cpu_utilization_cc0c53.csv,0.034478179237025605,0.04696190067276511,0.04714416799408684
realAWSCloudwatch,rds_cpu_utilization_e47b3b.csv,0.24495915383132202,0.24559570547240003,0.2592766546502697
realKnownCause,ambient_temperature_system_failure.csv,0.06810786367840159,0.08611289262240052,0.09700546982671454
realKnownCause,cpu_utilization_asg_misconfiguration.csv,0.20176355135893115,0.2917887083665931,0.2814319476457136
realKnownCause,ec2_request_latency_system_failure.csv,0.03595941469693516,0.036091656389849666,0.03862618934146952
realKnownCause,machine_temperature_system_failure.csv,0.19936900029704413,0.1963739169889191,0.2162586845529199
realKnownCause,nyc_taxi.csv,1.7702443151205136,0.835566957921357,0.7832385958267838
realKnownCause,rogue_agent_key_hold.csv,14756954918100.936,24222319226743.242,28349065384327.18
realKnownCause,rogue_agent_key_updown.csv,1694767628754081.5,1338374416034290.5,1578615278684873.2
realTweets,Twitter_volume_AAPL.csv,1.6625727143219033,1.21984422854949,0.9085302659344626
realTweets,Twitter_volume_AMZN.csv,0.5829424382738524,0.4367929711255589,0.39279896879568815
realTweets,Twitter_volume_CRM.csv,6609994015422709.0,3776479260458430.0,3950034236486821.5
realTweets,Twitter_volume_CVS.csv,937617637445218.0,1113033733973655.0,2111104877640273.5
realTweets,Twitter_volume_FB.csv,56034061916769.125,40510890308907.67,41890065402783.305
realTweets,Twitter_volume_GOOG.csv,20764688004963.1,10812392089185.373,8244860368532.611
realTweets,Twitter_volume_IBM.csv,1668765311415794.8,1209123701602090.0,1688057242685416.8
realTweets,Twitter_volume_KO.csv,639500239664917.9,314278914144974.44,386734013785945.0
realTweets,Twitter_volume_PFE.csv,2436437886106313.0,2053825005019146.2,1973124901902142.2
realTweets,Twitter_volume_UPS.csv,5387361104862054.0,7640742879626508.0,8483470360893593.0
artificialWithAnomaly,art_daily_flatmiddle.csv,76202.12179724185,239.9277982099876,0.5184476727751899
artificialWithAnomaly,art_daily_jumpsdown.csv,0.682943045065733,0.11485421357083056,0.1163896934462906
artificialWithAnomaly,art_daily_jumpsup.csv,1.0385060225156548,0.08127566142371746,0.08205001177102485
artificialWithAnomaly,art_daily_nojump.csv,0.7891127846765227,0.25023503325880037,0.25112562120113374
artificialWithAnomaly,art_increase_spike_density.csv,2551070330201721.5,2167827198240492.5,2020697646416212.2
artificialWithAnomaly,art_load_balancer_spikes.csv,746607448773901.8,213892327396808.62,208056831466880.25
artificialNoAnomaly,art_daily_no_noise.csv,0.892340825295416,0.0003611383115645361,0.00010936759124353384
artificialNoAnomaly,art_daily_perfect_square_wave.csv,0.8607702953762866,0.0003167974823244005,8.216498434654467e-07
artificialNoAnomaly,art_daily_small_noise.csv,0.7790305376818548,0.05465688646312877,0.05046616907903402
artificialNoAnomaly,art_flatline.csv,0.0,0.0,0.0
artificialNoAnomaly,art_noisy.csv,0.226595107435901,0.22436491265762776,0.22618560206931035
realTraffic,TravelTime_387.csv,0.8699096812149089,2.1284529191041592,2.7615455950663974
realTraffic,TravelTime_451.csv,0.39973592806832486,0.893583473670955,0.8601446862442067
realTraffic,occupancy_6005.csv,417855327334944.25,465540714169451.44,419602531922062.56
